"diagYm";"sidoName";"usedMedicineQty";"population"
"201003";"공주시";5247.0;113865.0
"201003";"과천시";102.0;65292.0
"201003";"광명시";10170.0;322775.0
"201003";"광양시";1286.0;135324.0
"201003";"광주광역시";156237.0;1447291.0
"201003";"광주시";4393.0;221569.0
"201003";"구리시";15031.0;182075.0
"201003";"구미시";29748.0;393430.0
"201003";"군산시";7449.0;255605.0
"201003";"군포시";8446.0;270830.0
"201003";"김제시";1303.0;81735.0
"201003";"김천시";5036.0;125191.0
"201003";"김포시";6822.0;214050.0
"201003";"김해시";18661.0;478109.0
"201003";"나주시";5728.0;76966.0
"201003";"남양주시";7645.0;520270.0
"201003";"남원시";5559.0;77436.0
"201003";"논산시";5795.0;115614.0
"201003";"대구광역시";273709.0;2395518.0
"201003";"대전광역시";123918.0;1469599.0
"201003";"동두천시";2583.0;89226.0
"201003";"동해시";4678.0;88006.0
"201003";"목포시";56755.0;245720.0
"201003";"문경시";6031.0;67749.0
"201003";"밀양시";2545.0;97286.0
"201003";"보령시";5369.0;95781.0
"201003";"부산광역시";367767.0;3346609.0
"201003";"사천시";4013.0;104709.0
"201003";"삼척시";4192.0;65812.0
"201003";"상주시";5658.0;96360.0
"201003";"서귀포시";2130.0;127974.0
"201003";"서산시";5650.0;152892.0
"201003";"서울특별시";1236790.0;9512332.0
"201003";"성남시";96115.0;924284.0
"201003";"속초시";5617.0;79372.0
"201003";"수원시";104971.0;1040388.0
"201003";"순천시";24008.0;254214.0
"201003";"시흥시";19809.0;388402.0
"201003";"아산시";5447.0;269897.0
"201003";"안동시";24085.0;163300.0
"201003";"안산시";60461.0;690047.0
"201003";"안성시";6691.0;174065.0
"201003";"안양시";46295.0;588878.0
"201003";"양산시";30637.0;246583.0
"201003";"양주시";1302.0;180668.0
"201003";"여수시";17081.0;265010.0
"201003";"영주시";3231.0;106837.0
"201003";"영천시";5993.0;92739.0
"201003";"오산시";6307.0;179281.0
"201003";"용인시";10106.0;839237.0
"201003";"울산광역시";75826.0;1055783.0
"201003";"원주시";43971.0;305068.0
"201003";"의왕시";1001.0;141614.0
"201003";"의정부시";40085.0;409974.0
"201003";"이천시";4194.0;190167.0
"201003";"익산시";31575.0;290208.0
"201003";"인천광역시";199428.0;2595806.0
"201003";"전주시";85569.0;637613.0
"201003";"정읍시";6105.0;108003.0
"201003";"제주시";43103.0;393694.0
"201003";"제천시";2182.0;131977.0
"201003";"진주시";54337.0;330411.0
"201003";"천안시";70192.0;559514.0
"201003";"청주시";52848.0;787105.0
"201003";"춘천시";28940.0;270354.0
"201003";"충주시";17191.0;198332.0
"201003";"태백시";2540.0;50807.0
"201003";"통영시";9270.0;126382.0
"201003";"파주시";6961.0;319439.0
"201003";"평택시";12355.0;375434.0
"201003";"포천시";3632.0;133349.0
"201003";"포항시";50427.0;499943.0
"201003";"하남시";2370.0;135833.0
"201003";"화성시";6480.0;470027.0
"201004";"강릉시";42034.0;214003.0
"201004";"거제시";10084.0;222600.0
"201004";"경산시";8817.0;257604.0
"201004";"경주시";17358.0;249401.0
"201004";"고양시";89054.0;885158.0
"201004";"공주시";6288.0;113865.0
"201004";"광명시";11718.0;322775.0
"201004";"광양시";1056.0;135324.0
"201004";"광주광역시";148130.0;1447291.0
"201004";"광주시";2917.0;221569.0
"201004";"구리시";17889.0;182075.0
"201004";"구미시";35349.0;393430.0
"201004";"군산시";8341.0;255605.0
"201004";"군포시";8738.0;270830.0
"201004";"김제시";1815.0;81735.0
"201004";"김천시";3391.0;125191.0
"201004";"김포시";7124.0;214050.0
"201004";"김해시";16423.0;478109.0
"201004";"나주시";5500.0;76966.0
"201004";"남양주시";8775.0;520270.0
"201004";"남원시";5959.0;77436.0
"201004";"논산시";5808.0;115614.0
"201004";"대구광역시";259878.0;2395518.0
"201004";"대전광역시";129136.0;1469599.0
"201004";"동두천시";2710.0;89226.0
"201004";"동해시";4831.0;88006.0
"201004";"목포시";61484.0;245720.0
"201004";"문경시";5288.0;67749.0
"201004";"밀양시";2631.0;97286.0
"201004";"보령시";5290.0;95781.0
"201004";"부산광역시";361710.0;3346609.0
"201004";"사천시";3589.0;104709.0
"201004";"삼척시";3881.0;65812.0
"201004";"상주시";7119.0;96360.0
"201004";"서귀포시";2830.0;127974.0
"201004";"서산시";6299.0;152892.0
"201004";"서울특별시";1226147.0;9512332.0
"201004";"성남시";103184.0;924284.0
"201004";"속초시";4460.0;79372.0
"201004";"수원시";115456.0;1040388.0
"201004";"순천시";25604.0;254214.0
"201004";"시흥시";17901.0;388402.0
"201004";"아산시";5607.0;269897.0
"201004";"안동시";21586.0;163300.0
"201004";"안산시";60694.0;690047.0
"201004";"안성시";6886.0;174065.0
"201004";"안양시";45768.0;588878.0
"201004";"양산시";28459.0;246583.0
"201004";"양주시";1492.0;180668.0
"201004";"여수시";15569.0;265010.0
"201004";"영주시";2875.0;106837.0
"201004";"영천시";7372.0;92739.0
"201004";"오산시";7390.0;179281.0
"201004";"용인시";10713.0;839237.0
"201004";"울산광역시";80695.0;1055783.0
"201004";"원주시";40615.0;305068.0
"201004";"의왕시";891.0;141614.0
"201004";"의정부시";40730.0;409974.0
"201004";"이천시";4298.0;190167.0
"201004";"익산시";30755.0;290208.0
"201004";"인천광역시";195014.0;2595806.0
"201004";"전주시";94838.0;637613.0
"201004";"정읍시";5976.0;108003.0
"201004";"제주시";38728.0;393694.0
"201004";"제천시";2113.0;131977.0
"201004";"진주시";51439.0;330411.0
"201004";"천안시";76957.0;559514.0
"201004";"청주시";51690.0;787105.0
"201004";"춘천시";28716.0;270354.0
"201004";"충주시";17200.0;198332.0
"201004";"태백시";2252.0;50807.0
