"","diagYm","sidoName","usedMedicineQty","population"
"183",201003,"대전광역시",123918,1469599
"184",201003,"동두천시",2583,89226
"185",201003,"동해시",4678,88006
"186",201003,"목포시",56755,245720
"187",201003,"문경시",6031,67749
"188",201003,"밀양시",2545,97286
"189",201003,"보령시",5369,95781
"190",201003,"부산광역시",367767,3346609
"191",201003,"사천시",4013,104709
"192",201003,"삼척시",4192,65812
"193",201003,"상주시",5658,96360
"194",201003,"서귀포시",2130,127974
"195",201003,"서산시",5650,152892
"196",201003,"서울특별시",1236790,9512332
"197",201003,"성남시",96115,924284
"198",201003,"속초시",5617,79372
"199",201003,"수원시",104971,1040388
"200",201003,"순천시",24008,254214
"201",201003,"시흥시",19809,388402
"202",201003,"아산시",5447,269897
"203",201003,"안동시",24085,163300
"204",201003,"안산시",60461,690047
"205",201003,"안성시",6691,174065
"206",201003,"안양시",46295,588878
"207",201003,"양산시",30637,246583
"208",201003,"양주시",1302,180668
"209",201003,"여수시",17081,265010
"210",201003,"영주시",3231,106837
"211",201003,"영천시",5993,92739
"212",201003,"오산시",6307,179281
"213",201003,"용인시",10106,839237
"214",201003,"울산광역시",75826,1055783
"215",201003,"원주시",43971,305068
"216",201003,"의왕시",1001,141614
"217",201003,"의정부시",40085,409974
"218",201003,"이천시",4194,190167
"219",201003,"익산시",31575,290208
"220",201003,"인천광역시",199428,2595806
"221",201003,"전주시",85569,637613
"222",201003,"정읍시",6105,108003
"223",201003,"제주시",43103,393694
"224",201003,"제천시",2182,131977
"225",201003,"진주시",54337,330411
"226",201003,"천안시",70192,559514
"227",201003,"청주시",52848,787105
"228",201003,"춘천시",28940,270354
"229",201003,"충주시",17191,198332
"230",201003,"태백시",2540,50807
"231",201003,"통영시",9270,126382
"232",201003,"파주시",6961,319439
"233",201003,"평택시",12355,375434
"234",201003,"포천시",3632,133349
"235",201003,"포항시",50427,499943
"236",201003,"하남시",2370,135833
"237",201003,"화성시",6480,470027
"238",201004,"강릉시",42034,214003
"239",201004,"거제시",10084,222600
"240",201004,"경산시",8817,257604
"241",201004,"경주시",17358,249401
"242",201004,"고양시",89054,885158
"243",201004,"공주시",6288,113865
"244",201004,"광명시",11718,322775
"245",201004,"광양시",1056,135324
"246",201004,"광주광역시",148130,1447291
"247",201004,"광주시",2917,221569
